name,output_capacity_mw,effective_capacity_mw,capacity_measure,report_period,capacity_source
Reduit Hydroelectric power station,1.20,1.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Nicolay Power Station,78.40,70.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Tamarin Falls Hydro Power Station,7.30,5.50,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Fort George Power Station,140.00,127.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Saint Louis Power Station,110.00,102.70,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Henrietta Solar Farm,11.16,10.80,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Sarako,15.19,15.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
CEB Fort Victoria Power Plant,109.60,103.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Ferney Power Station,10.00,10.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
Champagne Hydro Power Station,30.00,28.00,installed_capacity,2023-2024,CEB Annual Report 2023-2024 pp. 50-51
